item,mdl_no,courtlistener_url,subject_id,subject_definition,reached,express,party_direction,court_resolution,note_optional
12,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,TRUE,TRUE,R3: automatic consolidation independently prescribes treatment of later-filed actions.
13,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,TRUE,R3: automatic consolidation independently prescribes coordination of tag-along actions.
14,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,TRUE,TRUE,FALSE,""
15,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,TRUE,TRUE,"R1: report item invokes Rule 26(a)(1), and the order tolls Rules 26-37."
16,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",TRUE,TRUE,TRUE,TRUE,""
17,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3d_pretrial_motions,,TRUE,TRUE,TRUE,TRUE,R2: response timing is stayed and pending motions are administratively terminated.
18,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,TRUE,TRUE,TRUE,FALSE,""
19,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,TRUE,TRUE,FALSE,""
20,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,TRUE,TRUE,FALSE,""
21,3163,https://www.courtlistener.com/docket/72052106/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
22,3163,https://www.courtlistener.com/docket/72052106/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,FALSE,FALSE,FALSE,FALSE,R6: no statement or request concerning when the court will make appointments.
23,3163,https://www.courtlistener.com/docket/72052106/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
24,3163,https://www.courtlistener.com/docket/72052106/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
25,3163,https://www.courtlistener.com/docket/72052106/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,FALSE,FALSE,FALSE,FALSE,""
26,3163,https://www.courtlistener.com/docket/72052106/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
27,3163,https://www.courtlistener.com/docket/72052106/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,FALSE,FALSE,FALSE,FALSE,""
28,3163,https://www.courtlistener.com/docket/72052106/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
29,3163,https://www.courtlistener.com/docket/72052106/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
30,3163,https://www.courtlistener.com/docket/72052106/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,FALSE,FALSE,FALSE,FALSE,""
31,3163,https://www.courtlistener.com/docket/72052106/,b2c_conference_schedule,,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
32,3163,https://www.courtlistener.com/docket/72052106/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
33,3163,https://www.courtlistener.com/docket/72052106/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,FALSE,""
34,3163,https://www.courtlistener.com/docket/72052106/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
35,3163,https://www.courtlistener.com/docket/72052106/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,FALSE,FALSE,R4: court-anticipated conference topic is identified but not directed.
36,3163,https://www.courtlistener.com/docket/72052106/,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",TRUE,TRUE,TRUE,TRUE,"R4: the anticipated discovery agenda is not directed, but the required position statements must report discovery already taken; the discovery stay is operative."
37,3163,https://www.courtlistener.com/docket/72052106/,b3d_pretrial_motions,,TRUE,TRUE,TRUE,TRUE,R2: the order fixes motion-response timing.
38,3163,https://www.courtlistener.com/docket/72052106/,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,FALSE,FALSE,FALSE,FALSE,""
39,3163,https://www.courtlistener.com/docket/72052106/,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,FALSE,FALSE,FALSE,FALSE,""
40,3163,https://www.courtlistener.com/docket/72052106/,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,TRUE,TRUE,FALSE,""
41,3166,https://www.courtlistener.com/docket/72030009/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,TRUE,""
42,3166,https://www.courtlistener.com/docket/72030009/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,TRUE,TRUE,FALSE,TRUE,R6: the court says it will appoint lead counsel as soon as possible after the conference.
43,3166,https://www.courtlistener.com/docket/72030009/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,TRUE,FALSE,""
44,3166,https://www.courtlistener.com/docket/72030009/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,TRUE,""
45,3166,https://www.courtlistener.com/docket/72030009/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,FALSE,FALSE,FALSE,FALSE,""
46,3166,https://www.courtlistener.com/docket/72030009/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,TRUE,TRUE,""
47,3166,https://www.courtlistener.com/docket/72030009/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,TRUE,TRUE,TRUE,R3: liaison duties independently prescribe transmission of court orders and notices.
48,3166,https://www.courtlistener.com/docket/72030009/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,FALSE,FALSE,FALSE,FALSE,""
49,3166,https://www.courtlistener.com/docket/72030009/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,FALSE,FALSE,FALSE,FALSE,R8: equal sharing of liaison expenses is not leadership compensation.
50,3166,https://www.courtlistener.com/docket/72030009/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,TRUE,TRUE,""
51,3166,https://www.courtlistener.com/docket/72030009/,b2c_conference_schedule,,FALSE,FALSE,FALSE,FALSE,""
52,3166,https://www.courtlistener.com/docket/72030009/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,FALSE,TRUE,R3: later-filed tag-alongs are automatically consolidated.
53,3166,https://www.courtlistener.com/docket/72030009/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,TRUE,R3: notice and automatic-consolidation duties prescribe coordination.
54,3166,https://www.courtlistener.com/docket/72030009/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,TRUE,TRUE,FALSE,""
55,3166,https://www.courtlistener.com/docket/72030009/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,TRUE,FALSE,""
56,3166,https://www.courtlistener.com/docket/72030009/,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",TRUE,TRUE,TRUE,TRUE,R3: evidence-preservation duties independently prescribe discovery treatment.
57,3166,https://www.courtlistener.com/docket/72030009/,b3d_pretrial_motions,,TRUE,TRUE,TRUE,TRUE,R2: pending motions must be renoticed after the court sets a schedule.
58,3166,https://www.courtlistener.com/docket/72030009/,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,TRUE,TRUE,TRUE,FALSE,""
59,3166,https://www.courtlistener.com/docket/72030009/,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,TRUE,TRUE,FALSE,""
60,3166,https://www.courtlistener.com/docket/72030009/,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,TRUE,TRUE,FALSE,""
61,3167,https://www.courtlistener.com/docket/72043662/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,FALSE,""
62,3167,https://www.courtlistener.com/docket/72043662/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
63,3167,https://www.courtlistener.com/docket/72043662/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,TRUE,FALSE,""
64,3167,https://www.courtlistener.com/docket/72043662/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
65,3167,https://www.courtlistener.com/docket/72043662/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
66,3167,https://www.courtlistener.com/docket/72043662/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
67,3167,https://www.courtlistener.com/docket/72043662/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
68,3167,https://www.courtlistener.com/docket/72043662/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
69,3167,https://www.courtlistener.com/docket/72043662/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
70,3167,https://www.courtlistener.com/docket/72043662/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
71,3167,https://www.courtlistener.com/docket/72043662/,b2c_conference_schedule,,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
72,3167,https://www.courtlistener.com/docket/72043662/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
73,3167,https://www.courtlistener.com/docket/72043662/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,FALSE,""
74,3167,https://www.courtlistener.com/docket/72043662/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
75,3167,https://www.courtlistener.com/docket/72043662/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
76,3167,https://www.courtlistener.com/docket/72043662/,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
77,3167,https://www.courtlistener.com/docket/72043662/,b3d_pretrial_motions,,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
78,3167,https://www.courtlistener.com/docket/72043662/,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
79,3167,https://www.courtlistener.com/docket/72043662/,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
80,3167,https://www.courtlistener.com/docket/72043662/,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,FALSE,FALSE,FALSE,Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.
81,3170,https://www.courtlistener.com/docket/71221176/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,FALSE,""
82,3170,https://www.courtlistener.com/docket/71221176/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,TRUE,TRUE,TRUE,FALSE,""
83,3170,https://www.courtlistener.com/docket/71221176/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,TRUE,FALSE,""
84,3170,https://www.courtlistener.com/docket/71221176/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,FALSE,""
85,3170,https://www.courtlistener.com/docket/71221176/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,TRUE,TRUE,TRUE,FALSE,""
86,3170,https://www.courtlistener.com/docket/71221176/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,TRUE,FALSE,""
87,3170,https://www.courtlistener.com/docket/71221176/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,TRUE,TRUE,FALSE,""
88,3170,https://www.courtlistener.com/docket/71221176/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,TRUE,TRUE,TRUE,FALSE,""
89,3170,https://www.courtlistener.com/docket/71221176/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,TRUE,TRUE,TRUE,FALSE,""
90,3170,https://www.courtlistener.com/docket/71221176/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,TRUE,FALSE,""
91,3170,https://www.courtlistener.com/docket/71221176/,b2c_conference_schedule,,TRUE,TRUE,TRUE,FALSE,""
92,3170,https://www.courtlistener.com/docket/71221176/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,TRUE,TRUE,R3: CMO #1 independently prescribes direct filing and the filing fee.
93,3170,https://www.courtlistener.com/docket/71221176/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,TRUE,R3: automatic consolidation independently prescribes coordination of later-filed actions.
94,3170,https://www.courtlistener.com/docket/71221176/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,TRUE,TRUE,FALSE,""
95,3170,https://www.courtlistener.com/docket/71221176/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,TRUE,FALSE,R1: the general discovery stay does not resolve this separately stated report item.
96,3170,https://www.courtlistener.com/docket/71221176/,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",TRUE,TRUE,TRUE,TRUE,""
97,3170,https://www.courtlistener.com/docket/71221176/,b3d_pretrial_motions,,TRUE,TRUE,TRUE,TRUE,R2: complaint-response timing and treatment of pending motions are fixed.
98,3170,https://www.courtlistener.com/docket/71221176/,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,TRUE,TRUE,TRUE,FALSE,R3: the leadership-responsibility item independently solicits a role in facilitating resolution.
99,3170,https://www.courtlistener.com/docket/71221176/,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,TRUE,TRUE,FALSE,""
100,3170,https://www.courtlistener.com/docket/71221176/,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,TRUE,TRUE,FALSE,""
101,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,TRUE,""
102,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,TRUE,TRUE,TRUE,TRUE,R6: the order states when the court will appoint lead counsel.
103,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,TRUE,FALSE,""
104,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,TRUE,""
105,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,TRUE,FALSE,FALSE,FALSE,""
106,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,TRUE,TRUE,""
107,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,FALSE,FALSE,FALSE,R7: the point-of-contact role lacks a leadership title; this subject is reached only by incorporation.
108,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,TRUE,FALSE,FALSE,FALSE,""
109,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,TRUE,TRUE,TRUE,FALSE,R8: point-of-contact expense sharing is not compensation; the common-benefit-fund proposal independently makes the subject express.
110,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,TRUE,TRUE,""
111,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2c_conference_schedule,,TRUE,FALSE,FALSE,FALSE,""
112,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,TRUE,TRUE,""
113,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,TRUE,TRUE,""
114,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,TRUE,TRUE,TRUE,FALSE,""
115,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,TRUE,TRUE,TRUE,FALSE,R1: the discovery stay does not resolve factual-basis exchange because the item does not invoke stayed discovery machinery.
116,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3c_discovery,"(b)(3)(C) discovery, including any difficult issues",TRUE,TRUE,TRUE,TRUE,""
117,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3d_pretrial_motions,,TRUE,TRUE,TRUE,TRUE,R2: response timing and renoticing of pending motions are fixed.
118,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,TRUE,TRUE,TRUE,TRUE,R3: the settlement-master submission procedure independently prescribes treatment.
119,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or a master,TRUE,TRUE,TRUE,FALSE,""
120,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b3g_principal_issues,(b)(3)(G) the principal factual and legal issues likely to be presented,TRUE,TRUE,TRUE,FALSE,""
121,3172,https://www.courtlistener.com/docket/72249116/,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,TRUE,TRUE,TRUE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
122,3172,https://www.courtlistener.com/docket/72249116/,b2a_timing,(b)(2)(A)(i) the timing of the appointments,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only. R6: candidate-selection timing is not appointment timing.
123,3172,https://www.courtlistener.com/docket/72249116/,b2a_structure,(b)(2)(A)(ii) the structure of leadership counsel,TRUE,TRUE,FALSE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
124,3172,https://www.courtlistener.com/docket/72249116/,b2a_selection_procedure,(b)(2)(A)(iii) the procedure for selecting leadership,TRUE,TRUE,TRUE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
125,3172,https://www.courtlistener.com/docket/72249116/,b2a_periodic_review,(b)(2)(A)(iii) whether the appointments should be reviewed periodically,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
126,3172,https://www.courtlistener.com/docket/72249116/,b2a_responsibilities,(b)(2)(A)(iv) their responsibilities and authority,TRUE,TRUE,TRUE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
127,3172,https://www.courtlistener.com/docket/72249116/,b2a_communication,(b)(2)(A)(v) methods for communicating with and reporting to the court and nonleadership counsel,TRUE,TRUE,TRUE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only. R3: liaison duties independently prescribe communications.
128,3172,https://www.courtlistener.com/docket/72249116/,b2a_nonleadership_limits,(b)(2)(A)(vi) any limits on activity by nonleadership counsel,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
129,3172,https://www.courtlistener.com/docket/72249116/,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
130,3172,https://www.courtlistener.com/docket/72249116/,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,TRUE,TRUE,FALSE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
131,3172,https://www.courtlistener.com/docket/72249116/,b2c_conference_schedule,,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
132,3172,https://www.courtlistener.com/docket/72249116/,b2d_direct_filing,(b)(2)(D) how to manage the direct filing of new actions,TRUE,TRUE,FALSE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
133,3172,https://www.courtlistener.com/docket/72249116/,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,TRUE,TRUE,FALSE,TRUE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
134,3172,https://www.courtlistener.com/docket/72249116/,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
135,3172,https://www.courtlistener.com/docket/72249116/,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,FALSE,FALSE,FALSE,FALSE,Closure test/R5: later June 22 chambers letter excluded; anchor ECF 5 only.
