invocation_id,mdl_no,subject_id,subject_definition,readable,answered,responsive_to_order,beyond_order,pin_cite,quote,coding_note,coder,date_coded,pass
INV-001,3162,b2c_conference_schedule,(b)(2)(C) schedule for additional management conferences,YES,TRUE,TRUE,FALSE,§ C,Undersigned Plaintiffs propose that regular monthly Case Management Conferences with the Court will promote efficiency and transparency regarding this litigation.,"Answered, and the first cell in the report layer where the two sides disagree on the answer itself: Plaintiffs want monthly conferences set now for the rest of 2026, Defendants want them delayed until after the motions to dismiss are decided. The divergence is set out under labeled headings exactly as the report's own opening says it will be.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2d_direct_filing,(b)(2)(D) how to manage direct filing of new actions,YES,TRUE,TRUE,TRUE,§ D,The Parties agree that there is no need for a direct filing order at this time and that any tag-along actions should be automatically consolidated with this action pursuant to IPO ¶ 1.,"Answered jointly and in the negative. BEYOND THE ORDER: after a '* * *' separator the section adds a joint notice of two actions filed in D.N.J. in the week before the report was due, Hunter v. Epiq Sys., Inc., 2:26-cv-02011 and Coughlan v. Angeion Group, LLC, 2:26-cv-02113, naming five settlement administrators not previously sued. Paragraph 5(d) asks how to manage direct filing; it does not ask for a docket update. The report's own typographic separator marks the passage as stepping outside the question. CONTESTABLE: a second coder could read new tag-along filings as directly responsive to a direct-filing question.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,YES,TRUE,TRUE,FALSE,§ E,"The Parties do not currently anticipate litigation in state courts mirroring the legal claims reflected in the consolidated complaints in MDL 3162. Should the current situation change, the Parties will address the coordination of related state-court actions in a future monthly Case Management Conference.","Answered on both halves, negative on the existence of related state actions and affirmative in principle on coordination if any appear. Note that the answer routes future coordination to the monthly conference schedule proposed in section C, which Defendants oppose; the two sections are not reconciled.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,YES,TRUE,TRUE,FALSE,§ F,Baker Plaintiffs' Counsel propose that consolidated pleadings – a Consolidated Master Complaint encompassing allegations of both the Digital Payment Kickback and Interest Rate Schemes and responsive pleadings directed to the Consolidated Master Complaint – would be appropriate and promote efficiency.,"The longest contested section in the report. Baker Plaintiffs and Defendants propose one consolidated master complaint; Whalen Plaintiffs propose two, one per alleged scheme. Six pages of argument under labeled headings. This is 16.1(b)(1)'s single-report-with-divergent-views mechanism carrying a real dispute to the court in one filing, which is the counter-example to MDL 3170 and the reason both reports have to be reported together.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,YES,TRUE,TRUE,FALSE,§ G,"Plaintiffs believe that no changes should be made in the scope, form or timing of the Fed. R. Civ. P. 26(a)(1) initial disclosures.","Answered, and this is the cell that resolves the gap recorded against this report since it was found. There is no section headed for (b)(3)(B) because paragraph 5(g) of IPO No. 1, which IS the (b)(3)(B) direction, frames the subject in Rule 26(a)(1) terms; the parties answered under the court's framing. Defendants diverge, proposing exchange within 30 days after the consolidated master complaint and never before it. Nothing was omitted by either side.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3c_discovery,"(b)(3)(C) discovery, including difficult issues",YES,TRUE,TRUE,FALSE,§ H.a; § H.b,"The Parties anticipate that Plaintiffs' Leadership Counsel and Defendants' counsel will negotiate a stipulated proposed protective order and a proposed protocol governing the preservation, collection, search, discovery, and production format of electronically stored information and hard copy documents, including a protocol governing the format and timing for production of privilege logs (""ESI Protocol"") consistent with the Court's local rules and Guidelines Relating to the Discovery of ESI.","Twenty pages, the longest section in the report, split into protective order and ESI protocol and timing. It reaches the Rule's 'difficult issues' qualifier squarely: Plaintiffs propose enlarging the presumptive ten-deposition and twenty-five-interrogatory limits but suggest waiting until discovery is underway, and defer to the Court on a Special Master for fact discovery and ESI. Defendants ask for a stay pending their Rule 12 motions. Compare INV-002, whose entire answer on this subject is 'See, Section VIII, above.'",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3d_pretrial_motions,(b)(3)(D) likely pretrial motions,YES,TRUE,TRUE,FALSE,§ J,"The undersigned plaintiffs' counsel anticipate, motions to address case management and discovery issues that arise during the litigation, a class certification motion, Federal Rule of Civil Procedure 702 motions concerning experts, motions to strike and/or for summary judgment pursuant to Federal Rule of Civil Procedure 56 regarding Defendants' asserted defenses, and motions in limine.","Answered from both sides with timing deferred to a post-conference conferral. Defendants add that they will endeavor to file consolidated briefs on generally applicable issues, which is a measure of pretrial efficiency offered inside the motions answer.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,YES,TRUE,TRUE,FALSE,§ K,The Parties have not identified any measures which they currently believe will facilitate resolution of this matter.,"THE WHOLE OF SECTION K. One sentence, in a forty-nine page report, on the subject Rule 16.1(b)(3)(E) exists to raise. Paragraph 5(j) of IPO No. 1 asked the question in the Rule's own words and the joint answer is that nothing has been identified. Coded answered rather than not answered: a negative answer to 'whether the court should consider any measures' is an answer. THE COMPARISON IS THE POINT. MDL 3170's order OMITTED this subject and its report addressed resolution three separate times, proposing an ADR subcommittee, settlement-negotiation authority for lead counsel, and a special master for settlement. MDL 3162's order ASKED and got one sentence declining. Asking is doing less work than the Rule's drafters assumed, and not asking is doing less harm than they assumed. n is two.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or master,YES,TRUE,TRUE,FALSE,§ L,"At this time, the Parties do not believe it is necessary for the Court to refer any matters to a U.S. Magistrate Judge.","The whole of section L, one sentence, answered jointly and in the negative on the magistrate half. The master half is answered elsewhere: inside section H the plaintiffs defer to the Court on whether a Special Master for fact discovery and ESI would help. So this subject, like (b)(3)(E) in INV-002, is partly housed and partly dispersed, in the opposite direction. CONTESTABLE: a second coder could code the master half unanswered here and answered under H.",claude (machine pass 1),2026-08-31,1
INV-001,3162,b3g_principal_issues,(b)(3)(G) principal factual and legal issues,YES,TRUE,TRUE,FALSE,§ M,The Court's request for a joint statement of principal factual and legal issues is a well-established case management tool designed to provide the Court with a neutral framework for understanding the landscape of the litigation — not an opportunity for early advocacy.,"Answered at length by both sides, and the section is where the report's central dispute becomes explicit. Plaintiffs say they wrote a neutral statement and that Defendants 'responded with argument and advocacy more appropriate for motion practice.' That is the negotiation-document against advocacy-document question, argued on the face of a 16.1(b)(1) report, over the one subject the Manual describes as a joint orienting exercise. The Rule and its Note say the report should be single and may reflect divergent views; neither says what kind of document it is, and here the parties are fighting about exactly that.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,YES,TRUE,TRUE,TRUE,§ II,"As the lead case, the Snelgrove Plaintiffs do not believe competitive briefing for formal leadership appointment is necessary and, rather, propose an approach that allows for all counsel with an interest in this litigation to participate meaningfully and by choice.","Answered directly and in the negative on the competitive-briefing model, with a proposed alternative. BEYOND THE ORDER, and this is the cell that carries the project's sharpest open question. CMO #2 asks for the parties' VIEWS ON WHETHER leadership counsel should be appointed. Section II does that and then argues at length that one particular firm should be appointed: 'Cole & Van Note is eminently qualified to lead the PSC for several reasons,' followed by four numbered grounds, a first-to-file argument with a case citation, and counsel's own litigation history. A view on whether is not an application by whom. That is the report functioning as an advocacy document rather than a negotiation document, which is the rulemaking question already recorded at INV-001. CONTESTABLE: a second coder could reasonably read qualifications as inseparable from a self-nominating answer to 'whether'.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_timing,(b)(2)(A)(i) timing of the appointments,YES,TRUE,TRUE,FALSE,§ II,"it should also be charged with meeting and conferring with all Plaintiffs' counsel within 15 days after the upcoming initial case management conference (envisioned by FRCP Rule 16.1(a) and ordered by this Court) to assemble a Plaintiffs' Steering Committee (""PSC"") to manage the litigation","Timing is answered concretely: a fifteen-day clock running from the initial case management conference. The report treats leadership as provisional at the conference and formed shortly after it, which is the timing question (b)(2)(A)(i) asks about.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_structure,(b)(2)(A)(ii) structure of leadership counsel,YES,TRUE,TRUE,FALSE,§ II,"to appoint subcommittees for (1) vetting representative Plaintiffs, preparing the Consolidated Complaint and associated motion work; (2) conducting discovery and handling discovery motions; (3) performing class certification briefing, and liaising with any damages modeling experts; and (4) to handle ADR/settlement efforts, as appropriate.","A four-subcommittee structure under a lead firm and a PSC, with the Committee Note quoted in a footnote for the proposition that (b)(2)(A)(ii) prompts counsel to give the court specific suggestions on structure. The report is answering the sub-item as a sub-item, not folding it into the general leadership answer.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_selection_procedure,(b)(2)(A)(iii) procedure for selecting leadership,YES,TRUE,TRUE,FALSE,§ II,"To the extent the number of counsel seeking PSC appointment is unwieldy, Cole & Van Note counsel (""CVN"") will work with interested counsel to narrow the requests for participation or, barring complete success there, will either be empowered to make appropriate selections or submit to the Court a position statement regarding any areas of disagreement, for the Court's consideration.","A selection procedure with a fallback: counsel narrow the field by agreement, and the Court decides what they cannot. The report also cites the Manual and the Third Circuit Task Force report for private ordering over auctions, which is an argument about the procedure rather than a further procedure.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_periodic_review,(b)(2)(A)(iii) whether appointments should be reviewed periodically,YES,FALSE,FALSE,FALSE,,,"NOT ANSWERED. Nothing in Section II addresses whether the appointments should be reviewed periodically. The nearest text is 'As the matter moves toward trial, additional counsel and/or committees may assume additional roles, such as addressing evidentiary challenges and trial preparation,' which contemplates roles growing rather than appointments being revisited, and says nothing about review. Recorded as unanswered rather than answered in the negative: the report does not decline periodic review, it does not reach it. Worth noting against the order layer's strongest published result, that no non-citing order raises periodic review; here a citing order raised it and the report still did not answer.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_responsibilities,(b)(2)(A)(iv) responsibilities and authority,YES,TRUE,TRUE,FALSE,§ II,"lead counsel should be generally responsible for the overall conduct of the pre-trial litigation on behalf of the putative class, adopting (here, with the appointment of PSC members to the roles discussed above), the following specific responsibilities","The fullest answer in the report: an eight-item enumeration of lead counsel's duties, from presenting the plaintiffs' position to the Court through delegation, stipulations, status reports, timekeeping and monitoring other firms. Drawn from the Manual §§ 10.221 and 40.22 and presented as the responsibilities the Court should adopt.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_communication,(b)(2)(A)(v) communicating with and reporting to the court and nonleadership counsel,YES,TRUE,TRUE,FALSE,§ II,"Lead counsel will provide reports of major activities to non-lead counsel at, at least, the same time interval, and advocates appointment of a liaison counsel for handling such communications with all other Plaintiffs' counsel. Further, lead counsel will ensure copies of any case management documents filed with the Court are served upon all counsel in the proceedings. Snelgrove Plaintiffs propose a website for communications.","Three mechanisms: periodic reports on the ninety-day conference cycle, a liaison counsel, and a website. The website proposal carries a footnote quoting the (b)(1) Committee Note on websites that let nonleadership counsel monitor proceedings, so the report is answering this sub-item from the Note as well as from the Rule.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_nonleadership_limits,(b)(2)(A)(vi) limits on activity by nonleadership counsel,YES,TRUE,TRUE,FALSE,§ II,"Snelgrove Plaintiffs' recommendation that all activity impacting the MDL proceedings be conducted through lead counsel is consistent with the Manual at, inter alia, §§ 10.221 and 40.22.","A limit, stated as a channelling rule rather than as a prohibition: everything affecting the MDL runs through lead counsel. Responsibility 7 of the enumerated list is the enforcement side of it, 'To monitor the activities of any other law firms that might seek to represent putative class members to ensure that schedules are met, and unnecessary expenditures of time and funds are avoided.'",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,YES,TRUE,TRUE,FALSE,§ II,"A meaningful discussion as to how lead and PSC counsel will be compensated is probably premature at this time since questions regarding the trajectory for this MDL (e.g., whether early resolution is appropriate, what structure settlement might take) cannot currently be answered. Moreover, details surrounding roles of PSC counsel will naturally develop depending on the duration and path of the litigation—suggesting that discussion of a more specific compensation structure should be deferred until at least a second case management conference, at which time Plaintiffs' counsel can propose a common benefit work and billing protocol for the Court's consideration.","The subject asks 'whether and when', and the report answers the WHEN: deferred to at least the second case management conference, with a common benefit protocol to follow. This is the bar taking the Committee Note's deferral position, and it is the cell behind the invocation layer's note that the bar argues for deferral while four of thirteen courts front-load the question.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,YES,TRUE,TRUE,FALSE,§ III,"Snelgrove Plaintiffs are not aware of any orders that should be vacated or modified, with the possible exception of the date of the initial case management conference.","Answered in the near-negative with one carve-out, and the carve-out is substantive: the report asks that the first conference be remote so that counsel in sixty-plus filed cases can attend, with later conferences in person.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2c_conference_schedule,(b)(2)(C) schedule for additional management conferences,YES,TRUE,TRUE,FALSE,§ IV,"As discussed above, this complex ligation will require enhanced judicial oversight. Thus, Snelgrove Plaintiffs suggest scheduling case management conferences at least every 90 days.","A ninety-day interval, proposed twice in the document, once inside the leadership section and again as its own answer here. The typographical error in 'ligation' is the report's and is reproduced verbatim.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2d_direct_filing,(b)(2)(D) how to manage direct filing of new actions,YES,TRUE,TRUE,FALSE,§ V,"Snelgrove Plaintiffs propose that any new actions, regardless of where filed, be transferred to this Court. All such matters shall be subject to this Court's Orders immediately upon transfer.","Answered, and answered as transfer rather than as direct filing. The order layer records that Gettleman's CMO #1 paragraph 6 already ESTABLISHED a direct-filing procedure, which is the dataset's first instance of a court ordering the procedure rather than listing the topic. The report does not engage with that procedure and proposes transfer instead. Flagged for the second coder: this may be a report answering a question its own court had already decided.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,YES,TRUE,TRUE,FALSE,§ VI,"Snelgrove Plaintiffs expect few, if any, additional actions to be filed in other courts. As such, additional coordination protocols will not likely be needed.","Answered in the negative on both halves of the subject, with a reason: counsel reviewed the sixty-plus filed cases and found that the firms who litigate data breach cases have already filed in this proceeding.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,YES,TRUE,TRUE,FALSE,§ VII,"Consistent with the inclusive approach outlined above, Snelgrove Plaintiffs suggest a Consolidated Complaint be filed.","Answered yes, with a mechanism: a PSC subgroup synthesises the pleadings, selects claims and representative plaintiffs, and meets and confers with the defence before filing to narrow or avoid a motion to dismiss.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,YES,TRUE,TRUE,FALSE,§ VIII,"Snelgrove Plaintiffs propose that further exchanges of information, whether formal or informal, be stayed until settlement of the pleadings or, in the event of early resolution efforts, that such exchanges be conducted informally between counsel.","Answered, and answered as a stay. The report anticipates a motion to dismiss and proposes that exchange wait for the pleadings to settle. The section heading reproduces the Rule's own words, so unlike MDL 3162 there is no vocabulary gap between the order and the report here.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3c_discovery,"(b)(3)(C) discovery, including difficult issues",YES,TRUE,TRUE,FALSE,§ IX,"See, Section VIII, above.","The whole of Section IX. It is an answer, by adoption of the stay proposed for factual-basis exchange, and the thinnest in the document. It leaves the Rule's own qualifier, 'including any difficult issues that may arise', untouched: no difficult discovery issue is identified anywhere in the report. CONTESTABLE: a second coder could read a bare cross-reference as not answering the subject at all. Coded answered because the cross-reference imports a substantive position rather than deferring.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3d_pretrial_motions,(b)(3)(D) likely pretrial motions,YES,TRUE,TRUE,FALSE,§ X,"In addition to a potential Motion to Dismiss, Snelgrove Plaintiffs anticipate traditional motion work such as the filing of a motion for summary judgment, motions in limine, Daubert and/or other evidentiary motions, a motion for class certification and, in the case of settlement, settlement approval motions.","Answered as a list of anticipated motions, with timing expressly deferred to a later conference after the pleadings settle.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,YES,TRUE,TRUE,FALSE,§ II; § XI,"to appoint subcommittees for ... (4) to handle ADR/settlement efforts, as appropriate","THE PRE-REGISTERED TEST, AND IT CONFIRMS THE v1.1 AMENDMENT. CMO #2 has no item for (b)(3)(E) and the report has no section for it; the report's list runs from Section X, pretrial motions, straight to Section XI, magistrate and master, exactly as the order does. Codebook v1.1 nonetheless codes this subject reached, express and party_direction for MDL 3170, on the ground that the leadership item directs the parties to address counsel's 'role in facilitating resolution of the MDL proceedings'. The prediction recorded before the document was opened was that the report would address resolution inside its leadership section if the amendment was right. It does. The quoted subcommittee is one of four proposed inside Section II, and the enumerated responsibilities in the same section include 'To conduct settlement negotiations on behalf of Plaintiffs and putative class members, and, where appropriate, to present any proposed settlements to the Court on behalf of putative class members'. Section XI adds 'a special master for settlement' with a selection timetable. So the subject was answered three times, in three sections, none of them named for it. That is the finding: a topic the order did not house does not disappear, it disperses.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or master,YES,TRUE,TRUE,FALSE,§ XI,Snelgrove Plaintiffs believe assignment of pre-trial matters to a magistrate judge is unnecessary but suggest the appointment of a special master for discovery and a special master for settlement.,"Answered on both limbs of the subject, negative on the magistrate judge and affirmative on masters, with a selection procedure: meet and confer within thirty days of the initial case management order, competing proposals to the Court twenty days after that if agreement fails, then an introductory call with each master.",claude (machine pass 1),2026-08-31,1
INV-002,3170,b3g_principal_issues,(b)(3)(G) principal factual and legal issues,YES,TRUE,TRUE,FALSE,§ XII,"Whether Defendant breached its legal duty to Representative Plaintiffs and the Class by failing to implement adequate data security measures that allowed the Data Security Event to occur, failing to comply with Defendant's own policies/procedures and applicable laws, regulations and industry standards relating to data security, and failing to adequately, promptly and accurately respond to the data security event.","Six lettered issues, the first quoted here. They run duty and breach, liability under each count, the defendant's knowledge timeline, Rule 23 maintainability, remedies, and 'Sundry evidentiary issues, as they arise.' One side's issues only; the report is unilateral.",claude (machine pass 1),2026-08-31,1
INV-010,3175,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_timing,(b)(2)(A)(i) timing of the appointments,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_structure,(b)(2)(A)(ii) structure of leadership counsel,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_selection_procedure,(b)(2)(A)(iii) procedure for selecting leadership,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_periodic_review,(b)(2)(A)(iii) whether appointments should be reviewed periodically,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_responsibilities,(b)(2)(A)(iv) responsibilities and authority,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_communication,(b)(2)(A)(v) communicating with and reporting to the court and nonleadership counsel,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_nonleadership_limits,(b)(2)(A)(vi) limits on activity by nonleadership counsel,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2a_compensation,(b)(2)(A)(vii) whether and when to establish a means for compensating leadership counsel,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2b_vacate_modify,(b)(2)(B) previously entered orders that should be vacated or modified,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2c_conference_schedule,(b)(2)(C) schedule for additional management conferences,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2d_direct_filing,(b)(2)(D) how to manage direct filing of new actions,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b2e_related_actions,(b)(2)(E) related actions elsewhere and methods for coordinating,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3a_consolidated_pleadings,(b)(3)(A) whether consolidated pleadings should be prepared,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3b_factual_basis_exchange,(b)(3)(B) how and when the parties will exchange information about the factual bases,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3c_discovery,"(b)(3)(C) discovery, including difficult issues",NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3d_pretrial_motions,(b)(3)(D) likely pretrial motions,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3e_settlement_facilitation,(b)(3)(E) measures to facilitate resolving some or all actions,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3f_magistrate_master,(b)(3)(F) referral to a magistrate judge or master,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-010,3175,b3g_principal_issues,(b)(3)(G) principal factual and legal issues,NO,NOT_READABLE,NOT_READABLE,NOT_READABLE,,,,,,
INV-020,3174,b2a_leadership,(b)(2)(A) whether leadership counsel should be appointed,YES,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,"Located 31 Aug 2026 and not yet read beyond its opening. Answers Judge Robart's 16 April 2026 order, which the order layer records as the purest transcription of the Rule in the set, so this pairing is the cleanest test the report layer has: an order that reproduces the Rule almost exactly, and the joint report filed against it.",,,
INV-020,3174,b2a_timing,(b)(2)(A)(i) timing of the appointments,YES,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,,,"Located 31 Aug 2026 and not yet read beyond its opening. Answers Judge Robart's 16 April 2026 order, which the order layer records as the purest transcription of the Rule in the set, so this pairing is the cleanest test the report layer has: an order that reproduces the Rule almost exactly, and the joint report filed against it.",,,
