cell,mdl_no,courtlistener_url,subject_id,attrs_in_dispute,reading_A,reading_B,evidence_pin_cite,evidence_quote,which_is_right,reason
12,3187,https://www.courtlistener.com/docket/73492845/,b3g_principal_issues,court_resolution,court_resolution=TRUE,court_resolution=FALSE,¶ 7,"Plaintiffs and Defendants must submit … a brief written statement which states their preliminary understanding of the facts involved in the litigation and the critical factual and legal issues. These statements will not be filed with the Clerk, will not be binding, will not waive claims or defenses, and may not be offered in evidence against a party at later proceedings. The court limits the parties to one submission for all Plaintiffs and one submission for all Defendants.",B,"The court specifies a nonbinding, one-per-side submission about the parties' preliminary understanding. It does not decide the litigation's principal factual or legal issues, so court_resolution is false."
13,3162,https://www.courtlistener.com/docket/72028506/8/class-action-settlement-administration-litigation-mdl-no-3162/,b2e_related_actions,court_resolution,court_resolution=FALSE,court_resolution=TRUE,¶ 5(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them;",A,"The report agenda asks parties whether coordination methods should be adopted. It adopts no method, so the parties can still shape the outcome and court_resolution is false."
14,3163,https://www.courtlistener.com/docket/72052106/,b2d_direct_filing,court_resolution,court_resolution=TRUE,court_resolution=FALSE,Part I; Part IV.B.7,"This Order shall govern all cases … (3) all related cases originally filed in this Court or transferred or removed to this Court. All subsequent orders of this Court with the designation “All Cases” or “All Actions” entered in MDL No. 3163 will likewise apply to all cases that are, or become, part of this MDL, regardless of whether that case was part of MDL No. 3163 when the order was entered. … This topic also includes discussion of the prompt filing of a case management order to govern direct filing and service in this MDL No. 3163.",A,Part I expressly makes current and future all-case orders govern related cases filed in or transferred to the MDL. That is an operative docket-management rule for directly filed and later-filed cases under R3.
15,3163,https://www.courtlistener.com/docket/72052106/,b2e_related_actions,court_resolution,court_resolution=TRUE,court_resolution=FALSE,Part III; Part IV.B.3; Part IV.B.10,"The parties’ statements should list all pending motions in the cases included in this MDL No. 3163, as well as all related cases pending in state or federal court, together with their current status, including any discovery taken to date, to the extent known. … It also should prompt discussion of the extent to which discovery in this action can be coordinated with ongoing discovery in MDL No. 3094 and/or in various state courts.",B,"The order requires a list of related cases and anticipates discussion of coordination. It adopts no coordination method, so court_resolution is false."
16,3166,https://www.courtlistener.com/docket/72030009/,b2a_timing,party_direction,party_direction=TRUE,party_direction=FALSE,¶ 7,"Applications must be filed in the master docket by January 12, 2026. … Responses or objections must be filed in the master docket by January 19, 2026. Applicants and objectors will have the opportunity to address the Court briefly in person at the initial case management conference. The Court will appoint lead counsel as soon as possible thereafter.",B,"The order tells applicants when to file and objectors when to respond, not to address when the court will appoint. R6 treats those deadlines as selection procedure; the court's own soon-after statement is not party direction."
17,3166,https://www.courtlistener.com/docket/72030009/,b2d_direct_filing,party_direction,party_direction=TRUE,party_direction=FALSE,¶ 1; ¶ 2,"Any tag-along action transferred to this Court or filed in this District will be automatically consolidated with this action without the need for future motions or orders. … To facilitate consolidation, all parties to this MDL must notify the Panel of any related or tag-along action of which they are or become aware.",B,"Automatic consolidation and the Panel-notice requirement are operative directions, but neither asks parties to address or propose management of direct filing. Party_direction is therefore false for this subject."
18,3166,https://www.courtlistener.com/docket/72030009/,b3c_discovery,court_resolution,court_resolution=FALSE,court_resolution=TRUE,¶ 8(x); ¶ 10,a schedule for discovery; … and discovery taken to date.,A,"The order asks for a proposed discovery schedule and a history of discovery already taken. It neither stays discovery nor fixes how discovery will proceed, so court_resolution is false."
19,3166,https://www.courtlistener.com/docket/72030009/,b3e_settlement_facilitation,reached express party_direction,reached=FALSE; express=FALSE; party_direction=FALSE,reached=TRUE; express=TRUE; party_direction=TRUE,,,B,"The order expressly includes facilitating resolution among the leadership responsibilities to be addressed. Paragraph 9 requires the parties' statements to cover the paragraph 8 topics, so reached, express, and party_direction are true."
20,3167,https://www.courtlistener.com/docket/72043662/,b3g_principal_issues,express party_direction,express=TRUE; party_direction=TRUE,express=FALSE; party_direction=FALSE,¶ 3.a,The general nature and potential dimensions of the litigation;,B,"The blanket Rule 16.1 reference reaches the subject but is not express under R1. The added phrase about the litigation's general nature and dimensions does not name principal factual or legal issues, so express and party_direction are false."
21,3170,https://www.courtlistener.com/docket/71221176/,b2e_related_actions,court_resolution,court_resolution=FALSE,court_resolution=TRUE,item 5,"Whether related actions have been—or are expected to—be filed in other courts, and whether to adopt additional methods for coordinating with them;",A,"This item asks parties whether coordination methods should be adopted; it does not adopt one. The related-actions question remains open, so court_resolution is false."
22,3170,https://www.courtlistener.com/docket/71221176/,b3e_settlement_facilitation,reached express party_direction,reached=FALSE; express=FALSE; party_direction=FALSE,reached=TRUE; express=TRUE; party_direction=TRUE,,,B,"The report must address leadership responsibilities that include facilitating resolution. That makes settlement facilitation reached, express, and the subject of party direction."
23,3171,https://www.courtlistener.com/docket/72240870/2/in-re-lyft-inc-passenger-sexual-assault-litigation/,b2a_responsibilities,court_resolution,court_resolution=FALSE,court_resolution=TRUE,¶ 9(ii),the responsibilities and authority of lead counsel;,A,The order asks parties to address proposed leadership responsibilities and authority; it does not itself allocate or define them. Court_resolution is false.
24,3175,https://www.courtlistener.com/docket/72280418/6/in-re-shell-eggs-antitrust-litigation/,b2a_leadership,party_direction,party_direction=FALSE,party_direction=TRUE,p.2 para 3 (express); p.1 para 2 (blanket clause),Any lawyer who seeks a leadership position in the case and other lawyers who wish to speak during the hearing should be present in the courtroom.,B,The order expressly requires any lawyer seeking a leadership position to attend the hearing. That is party direction on leadership.
25,3175,https://www.courtlistener.com/docket/72280418/6/in-re-shell-eggs-antitrust-litigation/,b2a_selection_procedure,express party_direction court_resolution,express=FALSE; party_direction=FALSE; court_resolution=FALSE,express=TRUE; party_direction=TRUE; court_resolution=TRUE,"route only, not an express treatment: p.1 para 2 (blanket clause)",,B,"The candidate-attendance requirement is an express selection-procedure rule. It binds leadership applicants and fixes participation in the process, so express, party_direction, and court_resolution are true under R3."
26,3175,https://www.courtlistener.com/docket/72280418/6/in-re-shell-eggs-antitrust-litigation/,b2d_direct_filing,party_direction,party_direction=FALSE,party_direction=TRUE,p.1 para 1,"Case no. 25-cv-1016-jdp was not included in the transfer order, but it did not have to be because it was filed directly in this court. See J.P.M.L R. 7.2(a). … The clerk of court is directed to add Case no. 25 cv-1016-jdp as a member case because it includes common questions of fact with the other cases.",A,"The court directs the clerk, not the parties, to add the directly filed case. It does not ask parties to address or propose direct-filing management, so party_direction is false."
27,3175,https://www.courtlistener.com/docket/72280418/6/in-re-shell-eggs-antitrust-litigation/,b2e_related_actions,express party_direction court_resolution,express=FALSE; party_direction=FALSE; court_resolution=FALSE,express=TRUE; party_direction=TRUE; court_resolution=TRUE,"route only, not an express treatment: p.1 para 2 (blanket clause)",,A,The blanket Rule 16.1 clause reaches related actions generally but is not express and does not by itself direct a response. The order adopts no method for coordinating actions in other courts.
28,3178,https://www.courtlistener.com/docket/73156009/,b3g_principal_issues,reached express party_direction,reached=TRUE; express=TRUE; party_direction=TRUE,reached=FALSE; express=FALSE; party_direction=FALSE,item 1,"A brief, non-argumentative summary of the member cases;",B,"A brief summary of member cases is not the codebook's principal factual or legal issues subject. The order does not expressly call for or direct an issues statement, so reached, express, and party_direction are false."
29,3179,https://www.courtlistener.com/docket/73150899/,b2a_structure,court_resolution,court_resolution=FALSE,court_resolution=TRUE,p.1 para 1,Counsel for each of the plaintiffs shall confer regarding the selection of lead and liaison counsel.,A,"Conferring over which people should serve as lead and liaison counsel is a selection step. Because counsel can shape the organization and the court fixes no structure, court_resolution is false."
30,3179,https://www.courtlistener.com/docket/73150899/,b2c_conference_schedule,reached express,reached=TRUE; express=TRUE,reached=FALSE; express=FALSE,p.1 para 1,"At this preliminary conference, the court will direct the parties, if they have not already done so, to confer with one another about what such a plan should include and set a date for a hearing, if necessary, to finalize the case management plan.",A,The order expressly states that the court will set a later hearing date if needed to finalize the plan. The conditional schedule still reaches and expressly addresses an additional management hearing.
31,3180,https://www.courtlistener.com/docket/73443394/,b2e_related_actions,court_resolution,court_resolution=FALSE,court_resolution=TRUE,¶ 5(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them;",A,"The report agenda asks parties whether coordination methods should be adopted. It adopts no method, so court_resolution is false."
32,3181,https://www.courtlistener.com/docket/73502651/,b2a_leadership,court_resolution,court_resolution=TRUE,court_resolution=FALSE,¶ 1.a; ¶ 2; ¶ 4; ¶ 4.a,"The Court envisions appointing one or more counsel as Plaintiffs' Lead Counsel. … Applications for Plaintiffs' Lead/Liaison Counsel positions must be filed on or before July 24, 2026. … The Court designates the following Plaintiff's counsel to arrange initial conferences of Plaintiffs' counsel and to coordinate the preparation and filing of any reports called for in this Order: Behram V. Parekh, Wisner Baum LLP and Trevor B. Rockstad, Davis and Crump PC.",B,"The named lawyers are designated only to coordinate conferences and reports, while the order preserves later lead selection. Without a leadership title, R7 prevents treating this coordination role as resolved leadership."
33,3181,https://www.courtlistener.com/docket/73502651/,b2d_direct_filing,party_direction,party_direction=TRUE,party_direction=FALSE,¶ 5.b.iii; ¶ 6.b.ii; ¶ 6.f,"Later Filed Cases. This Order shall also apply to related cases later filed in, removed to, or transferred to this Court. … A statement of counsel's view(s) on best practices for docket management in light of the estimated total number of cases (i.e., whether documents affecting all actions be filed only on the MDL docket, or also on the dockets of the individual actions).",A,The preliminary report must give the parties' views on expected later cases and docket management for all and individual actions. That is express party direction on managing direct and later-filed cases.
34,3185,https://www.courtlistener.com/docket/73454806/,b2a_timing,reached express party_direction court_resolution,reached=TRUE; express=TRUE; party_direction=TRUE; court_resolution=TRUE,reached=FALSE; express=FALSE; party_direction=FALSE; court_resolution=FALSE,p.2 (FURTHER ORDERED),"applications for such appointments shall be filed by June 23, 2026.",B,"The June 23 date is only an application deadline, not a date when the court will make appointments. Under R6 it belongs to selection procedure, so all timing attributes are false."
35,3185,https://www.courtlistener.com/docket/73454806/,b2b_vacate_modify,party_direction,party_direction=TRUE,party_direction=FALSE,p.1 topic 2; p.2 (FINALLY ORDERED),"Notable orders entered by any transferor court prior to consolidation; … All deadlines in all consolidated cases, including deadlines imposed by order of a transferor court, are STAYED pending further order of this Court.",A,"The order requires status reports, and transferor-court orders are a specified report topic. Under R4, making that topic required content is party_direction even though the stay itself is a court resolution."
