mdl_no,subject_id,attrs_changed,predicted,rules_in_pass1_note,v10_reached,v11_reached,v10_express,v11_express,v10_party_direction,v11_party_direction,v10_court_resolution,v11_court_resolution,v10_pin,v10_quote,v10_note,v11_note,claude_call,claude_reason,resolution
3187,b2e_related_actions,court_resolution,YES,R3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,¶ 6(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them","Directed, not resolved. ¶ 14 and ¶ 20 concern transferor-court orders and District of Kansas filings respectively, neither of which is coordination with actions pending elsewhere; R3 keeps them out.",Closure test/R5: same-day nunc pro tunc ECF 10 included with anchor ECF 9.,,,
3187,b3g_principal_issues,court_resolution,YES,R3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,¶ 7,"Plaintiffs and Defendants must submit … a brief written statement which states their preliminary understanding of the facts involved in the litigation and the critical factual and legal issues. These statements will not be filed with the Clerk, will not be binding, will not waive claims or defenses, and may not be offered in evidence against a party at later proceedings. The court limits the parties to one submission for all Plaintiffs and one submission for all Defendants.","RESOLVED. ¶ 7 is a separate paragraph headed SUMMARY OF FACTUAL AND LEGAL ISSUES and its language is operative about the subject under R3: it fixes a deadline, bars filing with the Clerk, strips the statements of binding and evidentiary effect, and limits each side to one submission. Note this subject is NOT among the ¶ 6 report topics; the court hived it off into its own paragraph and its own deadline.",Closure test/R5: same-day nunc pro tunc ECF 10 included with anchor ECF 9.,,,
3162,b2e_related_actions,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,¶ 5(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them;","No coordination mechanism with any other court is established. ¶¶ 1 and 18 concern actions filed in, removed to, or transferred to this Court and are coded at b2d_direct_filing.",R3: automatic consolidation independently prescribes coordination of tag-along actions.,,,
3163,b2d_direct_filing,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Part I; Part IV.B.7,"This Order shall govern all cases … (3) all related cases originally filed in this Court or transferred or removed to this Court. All subsequent orders of this Court with the designation “All Cases” or “All Actions” entered in MDL No. 3163 will likewise apply to all cases that are, or become, part of this MDL, regardless of whether that case was part of MDL No. 3163 when the order was entered. … This topic also includes discussion of the prompt filing of a case management order to govern direct filing and service in this MDL No. 3163.","RESOLVED but not DIRECTED, which the partial order permits. Part I fixes that directly filed cases are governed by this order and automatically by every future All Cases order, without any further motion. That is functionally the same mechanism as the automatic-consolidation clauses in MDLs 3162, 3166, and 3171, and the parties cannot alter it. What remains expressly open is the substantive direct-filing regime, which Part IV.B.7 defers to a later case management order.",R4: court-anticipated conference topic is identified but not directed.,,,
3163,b2e_related_actions,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Part III; Part IV.B.3; Part IV.B.10,"The parties’ statements should list all pending motions in the cases included in this MDL No. 3163, as well as all related cases pending in state or federal court, together with their current status, including any discovery taken to date, to the extent known. … It also should prompt discussion of the extent to which discovery in this action can be coordinated with ongoing discovery in MDL No. 3094 and/or in various state courts.","Direction and resolution both fire from Part III, which is the mandatory part of this order. Related actions must be listed with status in the position statements, and the court has fixed the channel, the groupings (one statement for all plaintiffs, one for the Novo Nordisk defendants, one for the Eli Lilly defendants), and the deadline. Distinctive coordination posture: the related proceeding here is another MDL before the same judge, MDL 3094, and Part IV.B.2 and IV.B.10 both contemplate coordinating with it.",,V11,"Pass 1 fixed the wrong thing. Part III fixes the channel, groupings and deadline for the parties' STATEMENTS about related actions. That is direction. The coordination of the related actions themselves stays open: the order only 'prompt[s] discussion of the extent to which discovery in this action can be coordinated.' Fixing how you must report a subject is not fixing the subject.",
3166,b2a_timing,party_direction,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,¶ 7,"Applications must be filed in the master docket by January 12, 2026. … Responses or objections must be filed in the master docket by January 19, 2026. Applicants and objectors will have the opportunity to address the Court briefly in person at the initial case management conference. The Court will appoint lead counsel as soon as possible thereafter.","Express by description rather than by the Rule's label. The appointment timetable is fixed and is not open to change through the case management statements. Thirteen days from application to objection deadline, and appointment follows the January 30 conference.",R6: the court says it will appoint lead counsel as soon as possible after the conference.,,,
3166,b2d_direct_filing,party_direction,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,¶ 1; ¶ 2,"Any tag-along action transferred to this Court or filed in this District will be automatically consolidated with this action without the need for future motions or orders. … To facilitate consolidation, all parties to this MDL must notify the Panel of any related or tag-along action of which they are or become aware.","Operative rather than agenda treatment: direct filing is managed by fixing what happens to actions filed in this District, without appearing as a conference topic. ¶ 1 extends the order to 'all related cases filed in the Northern District of California.' Identical to MDL 3171 ¶¶ 1-2.",R3: later-filed tag-alongs are automatically consolidated.,,,
3166,b3c_discovery,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,¶ 8(x); ¶ 10,a schedule for discovery; … and discovery taken to date.,"Materially thinner than Rule 16.1(b)(3)(C), which asks about discovery 'including difficult issues': this order asks only for a schedule, plus a report of discovery taken to date in the member case status reports. Notably, and unlike MDL 3171 ¶ 6, THIS ORDER CONTAINS NO DISCOVERY STAY. Nothing about discovery is fixed, so FALSE.",R3: evidence-preservation duties independently prescribe discovery treatment.,,,
3166,b3e_settlement_facilitation,reached express party_direction,no,-,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,"Not raised, and no incorporation clause sweeps it in. The only appearance of the concept is inside the leadership item at ¶ 8(ii), 'facilitating resolution of the MDL proceedings,' which describes lead counsel's role and is coded at b2a_responsibilities. No ADR item, no settlement master, no mediation reference. MDL 3171 adds both an ADR agenda item (¶ 9(xv)) and a Special Settlement Master nomination procedure (¶ 16).",,V11,"This is exactly what replacing R3 was for. Paragraph 8(ii) puts 'facilitating resolution of the MDL proceedings' on the conference agenda. Under v1.0's aboutness test that was excluded because the paragraph is about leadership responsibilities. Under v1.1 a paragraph may fire more than one subject, and this language independently solicits treatment of measures to facilitate resolution. Conceding against my own coding.",
3167,b3g_principal_issues,express party_direction,no,-,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,¶ 3.a,The general nature and potential dimensions of the litigation;,"IDENTIFIED, and the coarsest treatment of (b)(3)(G) in the set. The Rule asks for 'the principal factual and legal issues likely to be presented'; this asks for the nature and dimensions of the litigation, which is scope rather than issue identification and never uses the word 'issues.' Coded express because a reader of ¶ 3.a alone would know the substance of the case must be addressed. Flagged as the closest express call in this order.",Rule 16.1(b) incorporation clause; unnamed subjects are reached but not express.,,,
3170,b2e_related_actions,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,item 5,"Whether related actions have been—or are expected to—be filed in other courts, and whether to adopt additional methods for coordinating with them;","Carries the Rule's own unusual dash placement, 'are expected to—be filed,' which marks this order as a faithful transcriber alongside MDL 3174 and against the MDL 3162 and 3180 form order. ONE SUBSTANTIVE ADDITION: the Rule reads 'whether to adopt methods for coordinating with them'; this order inserts 'additional,' which presupposes that some coordination is already in place.",R3: automatic consolidation independently prescribes coordination of later-filed actions.,,,
3170,b3e_settlement_facilitation,reached express party_direction,no,-,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,"THE OMISSION. This order reproduces seventeen of the Rule's eighteen enumerated report items, in the Rule's own order, and drops exactly one: (b)(3)(E), 'whether the court should consider any measures to facilitate resolving some or all actions before the court.' The list runs from item 9 ('Any likely pretrial motions') straight to item 10 ('Whether any matters should be referred to a magistrate judge or a master'), skipping the settlement-facilitation item. reached is FALSE because the order's opening words, 'Pursuant to Fed. R. Civ. P. 16.1, the parties are directed to ... submit a report addressing the parties' views on the following matters,' cite the Rule as authority and then define an exhaustive list; that is not an incorporation clause of the kind in MDLs 3167, 3171, and 3175. The dropped item is one of the five whose marginal contribution the order-level analysis attributes to the Rule.",R3: the leadership-responsibility item independently solicits a role in facilitating resolution.,,,
3171,b2a_responsibilities,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,¶ 9(ii),the responsibilities and authority of lead counsel;,"Near-verbatim Rule 16.1(b)(2)(A)(iv) with the pretrial-activities and resolution-facilitation language dropped. ¶ 8's phrase 'to coordinate and conduct pretrial activities' describes the role's purpose rather than fixing its authority, and ¶ 9(ii) puts responsibilities squarely on the conference agenda, so no resolution. ¶ 7 does fix the responsibilities, authority, and cost-sharing of the interim 'point of contact,' but the order treats that as an administrative role distinct from lead counsel. PAIRED DIVERGENCE, flagged for review: MDL 3166 ¶ 6 is the same provision under the name 'Interim liaison counsel,' and is coded there as a leadership role, which makes that row's court_resolution TRUE. The difference is nominal, not functional. It follows from the codebook's express test, which asks what a reader of the order alone would know without consulting the Rule. A rebuilder applying a functional test would flip this row to TRUE.",,V11,Checked paragraph 7 in the order. It does not merely name a role: 'the point of contact shall be authorized to receive orders and notices on behalf of all Plaintiffs and shall be responsible for the preparation and transmittal of copies of such orders and notices to all Plaintiffs.' That independently prescribes responsibilities and authority. Pass 1 read paragraph 9(ii)'s agenda item and stopped. Conceding.,
3175,b2a_leadership,party_direction,no,-,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,p.2 para 3 (express); p.1 para 2 (blanket clause),Any lawyer who seeks a leadership position in the case and other lawyers who wish to speak during the hearing should be present in the courtroom.,"IDENTIFIED, and one of only two subjects this order names in its own words. The sentence tells a reader that leadership positions will be contested and that aspirants must appear, so the subject is in play without consulting the Rule. party_direction is coded FALSE under the codebook instruction to undercount when unsure: the only leadership-specific instruction concerns courtroom attendance rather than what the parties must address, and the report direction reaches this subject only through the blanket clause. A rebuilder who reads the attendance requirement as an instruction bearing on the leadership contest would code it TRUE.",,V11,"'Any lawyer who seeks a leadership position ... should be present in the courtroom' is an instruction whose trigger is the coded subject. Pass 1 coded FALSE under the undercount instruction, which is a tiebreaker and not a reason. An independent reading reached TRUE on the same sentence. Conceding.",
3175,b2a_selection_procedure,express party_direction court_resolution,no,-,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"route only, not an express treatment: p.1 para 2 (blanket clause)",,"INCORPORATED. Reached only by the blanket clause and not named anywhere in the order's own text. Incorporated scope is the whole of Rule 16.1, since the preceding sentence identifies the conference as one 'under Federal Rule of Civil Procedure 16.1' and the report must address 'each of the matters listed in the rule.' This is the row type that the old single binary got wrong; see AUDIT.md, 12 August 2026.",R3: the order prescribes conference attendance for lawyers seeking leadership.,,,
3175,b2d_direct_filing,party_direction,no,-,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,p.1 para 1,"Case no. 25-cv-1016-jdp was not included in the transfer order, but it did not have to be because it was filed directly in this court. See J.P.M.L R. 7.2(a). … The clerk of court is directed to add Case no. 25 cv-1016-jdp as a member case because it includes common questions of fact with the other cases.","RESOLVED but not DIRECTED, which the partial order permits. The court identifies a case filed directly in this court, states why the transfer order did not need to reach it, and directs the clerk to add it as a member case. That is an operative determination of how one directly filed action is handled, and the parties cannot alter it through the joint report. party_direction is FALSE because the instruction runs to the clerk, not to the parties. This is the only Rule 16.1 subject this order decides.",,PASS1,The order directs the CLERK to add the directly filed case as a member case. The clerk is not a party. `party_direction` requires the order to tell the parties to do something on this subject and nothing here does. v1.1 gave no reason for the change.,
3175,b2e_related_actions,express party_direction court_resolution,no,-,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"route only, not an express treatment: p.1 para 2 (blanket clause)",,"INCORPORATED. Reached only by the blanket clause and not named anywhere in the order's own text. Incorporated scope is the whole of Rule 16.1, since the preceding sentence identifies the conference as one 'under Federal Rule of Civil Procedure 16.1' and the report must address 'each of the matters listed in the rule.' This is the row type that the old single binary got wrong; see AUDIT.md, 12 August 2026. Adjacent provision considered and rejected: the order directs the parties to report on 'related investigations by the U.S. Department of Justice and other government bodies.' Investigations are not actions filed in other courts, so that direction is a beyond-Rule item rather than a treatment of (b)(2)(E). It parallels MDL 3162 para 5(p), the criminal-investigations item.",,PASS1,"Pass 1 recorded expressly that related actions are 'not named anywhere in the order's own text' and reached only through the blanket clause, which is why `express` was FALSE. v1.1 flips express, direction and resolution together with no note and points at no language. A change of three attributes on a subject the order never names needs evidence.",
3178,b3g_principal_issues,reached express party_direction,no,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,item 1,"A brief, non-argumentative summary of the member cases;","Coarser than the Rule's item, in the same way as MDL 3167 ¶ 3.a, and coded express on the same basis. 'Non-argumentative' is unique in the set: no other order tells counsel how to write the substance of their submission.",,PASS1,"'A brief, non-argumentative summary of the member cases' is coarser than the Rule's item and pass 1 said so, but a summary of what the member cases are cannot be written without stating the issues they present. v1.1 drops the subject entirely, which is a stronger claim than the text supports. GENUINELY ARGUABLE; flagged rather than settled.",
3179,b2a_structure,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,p.1 para 1,Counsel for each of the plaintiffs shall confer regarding the selection of lead and liaison counsel.,"Express only by naming two roles, lead and liaison counsel, with no use of the word structure and no committee contemplated. Coded FALSE on resolution under the instruction to undercount: the order presupposes the two roles but the parties remain free to propose otherwise.",,V11,"'Counsel shall confer regarding the selection of lead and liaison counsel' prescribes a two-role structure at least provisionally. The codebook says interim and partial determinations are resolution. Pass 1 coded FALSE under the undercount instruction, which again is a tiebreaker rather than a reason. Conceding.",
3179,b2c_conference_schedule,reached express,no,-,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,p.1 para 1,"At this preliminary conference, the court will direct the parties, if they have not already done so, to confer with one another about what such a plan should include and set a date for a hearing, if necessary, to finalize the case management plan.","IDENTIFIED. A further hearing beyond the initial telephone conference is contemplated in the order's own words, which is more than MDLs 3162, 3166, 3171, and 3174 offer on this subject. Nothing is asked of the parties about it and nothing is set. The April 24 direction to submit three available dates concerns the initial conference, which is the Rule 16.1(a) conference, not the 'additional' conferences (b)(2)(C) addresses.",,PASS1,"The order's own words contemplate a further hearing: 'set a date for a hearing, if necessary, to finalize the case management plan.' That is a schedule for additional management conferences named in the order. v1.1 drops the subject to not reached, with no note, against a quotation already in the record.",
3180,b2e_related_actions,court_resolution,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,¶ 5(e),"whether related actions have been—or are expected to be—filed in other courts, and whether to adopt methods for coordinating with them;","THE EM DASH FINGERPRINT, CONFIRMED. The Rule itself reads 'are expected to—be filed.' This order reads 'are expected to be—filed,' the same regularisation as MDL 3162 ¶ 5(e), and against the faithful transcription in MDLs 3170 and 3174. The punctuation travels with the form order. No coordination mechanism is established.",R3: automatic consolidation independently prescribes coordination of tag-along actions.,,,
3181,b2a_leadership,court_resolution,no,R7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,¶ 1.a; ¶ 2; ¶ 4; ¶ 4.a,"The Court envisions appointing one or more counsel as Plaintiffs' Lead Counsel. … Applications for Plaintiffs' Lead/Liaison Counsel positions must be filed on or before July 24, 2026. … The Court designates the following Plaintiff's counsel to arrange initial conferences of Plaintiffs' counsel and to coordinate the preparation and filing of any reports called for in this Order: Behram V. Parekh, Wisner Baum LLP and Trevor B. Rockstad, Davis and Crump PC.","THE ONLY ORDER IN THE CODED SET THAT NAMES INDIVIDUAL COUNSEL. ¶ 2 designates two attorneys by name to convene plaintiffs' counsel and coordinate the required filings, and expressly insulates that from the leadership contest: 'This designation will not have any impact on the Court's ultimate selection of Lead or Liaison Counsel.' Under application rule R7 'Designated Counsel' is not a leadership title, so ¶ 2 is not the basis for this coding. Resolution rests instead on ¶ 4 and ¶ 4.a, which require applications by a fixed date and commit the court to appointing, exactly as in MDLs 3166 and 3171. Plaintiffs' side only.",,PASS1,"Paragraph 2 designates two named attorneys to convene plaintiffs' counsel and coordinate the required filings. The codebook is explicit that interim appointments are operative determinations. That the order insulates the designation from the ultimate leadership contest limits its scope, not its operativeness.",
3181,b2d_direct_filing,party_direction,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,¶ 5.b.iii; ¶ 6.b.ii; ¶ 6.f,"Later Filed Cases. This Order shall also apply to related cases later filed in, removed to, or transferred to this Court. … A statement of counsel's view(s) on best practices for docket management in light of the estimated total number of cases (i.e., whether documents affecting all actions be filed only on the MDL docket, or also on the dockets of the individual actions).","Both attributes. ¶ 6.f fixes automatic application of this order to later-filed cases and ¶ 6.b.ii fixes the master-file filing rule, neither of which the report can change. What remains open, and is directed, is the docket-management practice for filings across member cases.",R3: the order applies its operative treatment to related cases later filed in the district.,,,
3185,b2a_timing,reached express party_direction court_resolution,no,-,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,p.2 (FURTHER ORDERED),"applications for such appointments shall be filed by June 23, 2026.","Express by description rather than by the Rule's label, and only partially: the order fixes the front end of the appointment timetable, the application deadline, but unlike MDLs 3166 and 3171 it says nothing about when the court will appoint. Twelve days from order to application deadline, and three days from that deadline to the conference.",R6: application deadlines do not state when the court will make appointments.,,,
3185,b2b_vacate_modify,party_direction,no,-,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,p.1 topic 2; p.2 (FINALLY ORDERED),"Notable orders entered by any transferor court prior to consolidation; … All deadlines in all consolidated cases, including deadlines imposed by order of a transferor court, are STAYED pending further order of this Court.","RESOLUTION BY DISPLACEMENT, and the mirror image of the continuation provisions elsewhere in the set. MDLs 3162, 3166, and 3171 leave transferor-court orders in full force until modified; this order stays the deadlines those orders imposed. Both are operative determinations, in opposite directions. Entered on a defendants' consent motion (Doc. 4), which is the only granted motion in any coded order.",R3: the stay independently modifies deadlines imposed by transferor-court orders.,,,
